Contour,Area,kModel (normalized mode 1),kModel (normalized mode 2)
B00,667.307,2.65103,1.11503
B01,1852.25,1.01467,-0.975374
B02,2370.07,0.04823,0.281717
B03,2010.09,0.344027,0.665777
B04,2098.09,-0.335445,2.05841
B05,1853.66,0.734749,0.318073
B06,2705.97,0.49239,-2.24555
B07,1767.94,0.998296,-0.270646
B08,2816.85,-0.390584,-0.413844
B09,2210.73,-0.185218,1.48963
B10,1025.2,1.58819,1.87258
B11,1473.09,1.05592,1.07379
B12,1701.92,0.630212,1.13231
B13,1696.77,0.774191,0.750452
B14,1490.85,0.865292,1.54159
B15,2261,0.264066,-0.0697542
B16,3043.47,-0.0597467,-1.92302
B17,1454.31,1.55105,-0.371438
B18,2853.89,-0.415131,-0.450783
B19,3052.55,-0.261346,-1.50495
B20,1622.94,1.28948,-0.38136
B21,1468.65,1.20992,0.778043
B22,2128.96,0.146332,0.828561
B23,2198.83,0.217636,-0.0306041
B24,1769.61,0.247789,1.97267
B25,1808.73,1.04221,-0.551146
B26,2192.12,0.420243,-0.244013
B27,2223.45,0.586188,-1.38523
B28,2658.87,-0.695221,1.23675
B29,2529.95,-0.519467,0.838029
B30,1342.82,1.6615,-0.1454
B31,1621.73,1.0516,0.317272
B32,1462.94,1.60826,-0.808667
B33,2768.38,-0.661011,0.298591
B34,1649.57,1.22915,-0.565749
B35,1687.92,1.16659,-0.229652
B36,1619.07,1.33561,-0.476026
B37,2119.55,0.699461,-0.715419
B38,2132,0.844582,-1.71414
B39,1294.28,1.79567,-0.286495
B40,1158,2.00376,-0.341347
B41,1151.58,1.68056,0.972025
B42,2170.81,0.357624,0.284463
B43,1915.68,0.265359,1.27661
B44,1767.31,0.42182,1.44402
B45,2528.98,0.161935,-0.729559
B46,1880.48,0.861644,-0.2868
B47,2030.97,0.959143,-1.29323
B48,1622.89,1.38764,-1.22599
B49,2080.97,-0.0721763,1.38681
B50,2087.73,0.617735,-0.409715
B51,2074.84,-0.132528,1.68889
B52,2149.51,0.541665,-0.416203
