Contour,Mode 1,Mode 2,Mode 3,Mode 4
A00,9.08507,37.8026,-0.303545,-4.0158
A01,25.1158,-16.9051,-12.3325,6.95601
A02,-37.8386,10.3955,-8.31412,-9.51908
A03,-5.67426,6.1635,5.23189,-18.3028
A04,-50.0836,2.85719,-6.4028,18.4607
A05,-72.0637,3.95207,-8.92174,-19.6736
A06,-33.8008,1.9987,-7.9725,8.52003
A07,6.24698,13.4672,-5.42156,5.60744
A08,-40.3884,27.2257,-8.12861,4.54977
A09,-114.37,11.3147,-19.9451,0.271298
A10,-53.5151,15.4314,-9.62641,-18.1382
A11,-30.5725,13.8822,-7.41076,-3.47148
A12,-33.1716,-5.48988,-13.6637,-34.3211
A13,-56.2973,-11.6813,-15.1719,6.21438
A14,-85.0452,-34.8668,-21.4794,-1.46566
A15,-114.047,19.9836,9.50698,-29.3234
A16,-62.7198,29.6989,-1.78963,7.60602
A17,34.1128,32.7172,-5.85259,8.65705
A18,-25.5681,-2.28103,-11.4719,18.3803
A19,25.5942,-14.7165,-13.4303,11.4571
A20,-24.646,11.7004,-9.97147,8.30657
A21,92.1488,5.30399,-2.64654,-2.56896
A22,82.5691,8.2435,-8.89372,-10.2165
A23,-13.8391,11.7749,-11.4113,14.9069
A24,-1.40794,34.782,3.09918,-13.5691
A25,1.7462,20.8181,-1.61629,24.1028
A26,-5.9168,-8.24742,-9.55754,6.94499
A27,70.6942,21.6264,-4.54132,-8.50283
A28,-44.0651,-13.4338,-21.7419,-8.61691
A29,-46.3438,-26.4153,-11.6698,6.43527
A30,10.6902,-3.75136,-14.5138,9.13226
A31,-22.5973,8.01897,-13.7367,-3.55581
A32,-6.19036,-6.63374,-11.2466,7.8823
A33,3.83501,15.04,-6.12366,5.81509
A34,-117.997,52.9787,3.31274,-18.5215
A35,-6.83855,-0.534842,-13.0024,-4.30255
A36,-70.4519,-27.3147,-22.0427,-24.2969
A37,9.79976,41.0484,-1.76511,-2.28738
A38,-83.3686,2.49891,-0.597307,2.99883
A39,30.5204,20.5828,-2.60427,-1.21058
A40,-34.0853,-9.3779,-9.07879,-3.74775
A41,-46.2539,-13.1861,-8.13165,-4.05324
A42,-94.6493,-12.8223,-15.4087,-7.83632
A43,-67.0005,18.8442,-11.6412,-3.43175
A44,21.6292,-31.6052,-19.5505,6.4571
A45,78.3644,17.7673,3.33639,1.98527
A46,-126.407,26.0442,9.21348,7.34703
A47,-38.896,6.47935,-4.78568,8.37471
A48,-21.3363,-30.3646,0.759887,8.8256
A49,-52.3177,6.6012,-5.23467,-10.8623
A50,-45.126,-37.8588,1.32132,9.84171
A51,29.3808,29.2729,13.6046,9.11236
A52,-49.9006,-12.2739,-9.09095,-0.500047
A53,-30.5432,-8.22492,-10.4222,0.114636
A54,-45.9889,12.0278,-12.2082,2.4739
A55,-13.6039,-12.8259,-12.4102,-11.2749
B00,144.71,26.162,-0.810679,-6.06589
B01,55.3869,-22.8853,-10.2224,-15.8935
B02,2.63269,6.60995,25.6862,10.7967
B03,18.7791,15.6212,0.494765,-4.04506
B04,-18.3107,48.2966,-1.11192,3.72698
B05,40.1072,7.46297,-1.11653,5.16982
B06,26.8777,-52.6875,7.67362,4.45615
B07,54.4932,-6.35019,4.70334,-4.89107
B08,-21.3205,-9.71004,13.8325,-1.90443
B09,-10.1103,34.9512,-5.62592,7.50191
B10,86.6932,43.9365,5.12955,-3.63551
B11,57.6385,25.1943,4.14713,0.754341
B12,34.4009,26.5674,-1.07301,-10.5601
B13,42.2601,17.6079,-0.371838,-6.6674
B14,47.233,36.1705,1.59766,-0.084482
B15,14.4144,-1.63665,5.50619,0.00591785
B16,-3.26134,-45.12,15.1377,16.6854
B17,84.6656,-8.71507,-3.96857,-0.986018
B18,-22.6604,-10.5767,8.58134,0.519212
B19,-14.2659,-35.3107,-18.4726,7.06659
B20,70.3879,-8.94788,-0.852789,2.00218
B21,66.0449,18.2553,-4.20354,7.35629
B22,7.98769,19.4406,-3.15803,0.531663
B23,11.8799,-0.718067,-6.17565,-14.615
B24,13.5259,46.285,0.526954,8.87539
B25,56.8902,-12.9316,4.80647,-3.32109
B26,22.9395,-5.72529,-6.16824,5.90436
B27,31.9977,-32.5017,-1.11593,-7.28246
B28,-37.9495,29.018,-8.29108,11.379
B29,-28.3557,19.6627,2.10975,-15.1527
B30,90.695,-3.41154,-1.60997,2.08301
B31,57.4031,7.44416,1.76804,-4.94203
B32,87.7889,-18.9738,-5.0838,-17.3346
B33,-36.0821,7.00585,-10.658,-20.5521
B34,67.0944,-13.2742,-5.31627,-11.8363
B35,63.6799,-5.38834,-6.45205,3.70574
B36,72.906,-11.169,2.7327,1.9801
B37,38.1809,-16.7859,-4.81965,5.73022
B38,46.1025,-40.2191,15.8518,-15.0774
B39,98.0187,-6.72206,-2.87891,-4.52361
B40,109.378,-8.00904,-7.15752,-9.1392
B41,91.7356,22.8067,-8.83263,-5.01946
B42,19.5213,6.67438,-3.43471,16.4087
B43,14.485,29.9533,6.36448,3.84971
B44,23.0255,33.8812,8.53375,3.54745
B45,8.83939,-17.1177,-7.07384,9.31345
B46,47.0339,-6.72921,-0.595802,-0.90684
B47,52.356,-30.3432,-7.80779,3.11263
B48,75.746,-28.7655,3.9067,-17.2274
B49,-3.93983,32.5389,15.0392,-3.24809
B50,33.7198,-9.61317,3.39265,2.27372
B51,-7.23419,39.6266,5.24452,2.82601
B52,29.5674,-9.76539,-5.77773,5.0838
X00,-144.516,38.2933,40.7579,-0.771797
X01,-76.7194,23.7727,-4.62148,6.30053
X02,1.01931,-41.9688,-1.23265,-1.7224
X03,7.64584,-58.2234,37.2136,-29.5705
X04,-45.9318,-12.3581,-5.06851,-6.77527
X05,-25.2981,-9.82403,15.3092,9.43508
X06,-56.257,14.0072,-3.43205,0.710468
X07,-45.2934,-5.091,-8.41479,-11.0392
X08,17.051,-30.6265,6.64858,24.1853
X09,-8.72328,9.68386,-5.73441,7.21259
X10,-58.4189,-35.8195,22.1549,-36.8477
X11,-17.4003,-54.7813,-8.46286,5.1912
X12,-87.5796,-58.2838,-37.1135,3.4271
X13,14.7513,-37.152,23.5781,2.86713
X14,-77.405,-8.01913,18.9086,10.1443
X15,-57.5318,-31.8618,87.9324,-0.583529
X16,-29.0115,-21.0195,50.5495,2.941
X17,-65.5577,-28.8725,-12.7765,3.67629
X18,27.08,2.36595,-3.26054,18.9492
X19,-50.9873,-23.1881,-9.85131,0.319637
X20,0.728357,9.8595,-5.36641,13.1191
X21,1.83939,15.1056,15.409,-15.7323
X22,53.2228,-7.06816,-0.93511,-9.34241
X23,-39.936,-29.3109,8.62031,15.6702
X24,-105.059,17.5802,14.086,15.9501
X25,46.326,12.0512,11.7401,14.5078
X26,-9.38131,-10.7667,5.77351,-10.984
X27,52.2131,-1.3815,26.2109,-1.54371
X28,-40.6561,-31.804,7.32127,1.7132
X29,84.2512,-15.9409,16.8912,9.4191
X30,-1.13781,-19.1436,-1.60565,11.9882
X31,38.6326,-20.2796,12.5315,15.9696
X32,50.4081,-12.0911,0.214774,3.91474
X33,41.237,4.1666,12.2936,-8.58261
X34,28.5435,-13.213,-1.18841,8.94352
X35,-51.8321,21.4639,-4.16464,1.59621
X36,31.285,-12.5444,15.3478,8.4627
X37,9.95915,11.824,7.19821,-7.82491
X38,-48.7204,-11.9984,14.5488,26.5698
X39,-2.23156,1.47089,15.2923,0.240578
X40,81.5752,34.9888,0.913325,-0.296418
X41,-81.9016,30.6547,33.412,-1.98671
X42,117.379,16.7413,-6.25984,-7.70747
